"Date","Price","Open","High","Low","Change %"
"05/23/2023","4.327","4.327","4.327","4.327","0.35%"
"05/22/2023","4.312","4.312","4.312","4.312","1.17%"
"05/19/2023","4.262","4.262","4.262","4.262","-1.07%"
"05/18/2023","4.308","4.308","4.308","4.308","2.89%"
"05/17/2023","4.187","4.187","4.187","4.187","-0.95%"
"05/16/2023","4.227","4.227","4.227","4.227","1.10%"
"05/15/2023","4.181","4.181","4.181","4.181","0.17%"
"05/12/2023","4.174","4.174","4.174","4.174","1.53%"
"05/11/2023","4.111","4.111","4.111","4.111","-2.40%"
"05/10/2023","4.212","4.212","4.212","4.212","-1.50%"
"05/09/2023","4.276","4.276","4.276","4.276","0.85%"
"05/08/2023","4.240","4.240","4.240","4.240","1.00%"
"05/05/2023","4.198","4.198","4.198","4.198","1.99%"
"05/04/2023","4.116","4.116","4.116","4.116","-0.22%"
"05/03/2023","4.125","4.125","4.125","4.125","-1.15%"
"05/02/2023","4.173","4.173","4.173","4.173","-0.33%"
"05/01/2023","4.187","4.202","4.202","4.187","0.10%"
"04/28/2023","4.183","4.183","4.183","4.183","-3.91%"
"04/27/2023","4.353","4.353","4.353","4.353","2.28%"
"04/26/2023","4.256","4.256","4.256","4.256","-0.12%"
"04/25/2023","4.261","4.261","4.261","4.261","-2.58%"
"04/24/2023","4.374","4.374","4.374","4.374","0.41%"
"04/21/2023","4.356","4.356","4.356","4.356","1.07%"
"04/20/2023","4.310","4.310","4.310","4.310","-1.26%"
"04/19/2023","4.365","4.365","4.365","4.365","1.49%"
"04/18/2023","4.301","4.301","4.301","4.301","-0.09%"
"04/17/2023","4.305","4.305","4.305","4.305","0.33%"
"04/14/2023","4.291","4.291","4.291","4.291","1.68%"
"04/13/2023","4.220","4.220","4.220","4.220","0.09%"
"04/12/2023","4.216","4.216","4.216","4.216","1.30%"
"04/11/2023","4.162","4.162","4.162","4.162","3.31%"
"04/10/2023","4.029","4.029","4.029","4.029","0.22%"
"04/07/2023","4.019","4.012","4.019","4.012","-0.36%"
"04/06/2023","4.034","4.034","4.034","4.034","0.57%"
"04/05/2023","4.011","4.011","4.011","4.011","-2.50%"
"04/04/2023","4.114","4.114","4.114","4.114","0.56%"
"04/03/2023","4.091","4.091","4.091","4.091","-0.17%"
"03/31/2023","4.098","4.098","4.098","4.098","-3.23%"
"03/30/2023","4.235","4.235","4.235","4.235","2.27%"
"03/29/2023","4.141","4.141","4.141","4.141","0.00%"
"03/28/2023","4.141","4.141","4.141","4.141","1.97%"
"03/27/2023","4.061","4.061","4.061","4.061","1.26%"
"03/25/2023","4.010","4.010","4.010","4.010","-0.14%"
"03/24/2023","4.016","4.016","4.016","4.016","-1.01%"
"03/23/2023","4.057","4.057","4.057","4.057","-2.80%"
"03/22/2023","4.174","4.174","4.174","4.174","1.53%"
"03/21/2023","4.111","4.111","4.111","4.111","3.32%"
"03/20/2023","3.979","3.979","3.979","3.979","-1.63%"
"03/17/2023","4.045","4.045","4.045","4.045","-2.97%"
"03/16/2023","4.169","4.169","4.169","4.169","1.66%"
"03/15/2023","4.101","4.101","4.101","4.101","-4.14%"
"03/14/2023","4.278","4.278","4.278","4.278","1.66%"
"03/13/2023","4.208","4.208","4.208","4.208","-2.68%"
"03/10/2023","4.324","4.324","4.324","4.324","-1.41%"
"03/09/2023","4.386","4.386","4.386","4.386","-0.77%"
"03/08/2023","4.420","4.420","4.420","4.420","-2.23%"
"03/07/2023","4.521","4.521","4.521","4.521","-1.14%"
"03/06/2023","4.573","4.573","4.573","4.573","0.77%"
"03/03/2023","4.538","4.538","4.538","4.538","-1.80%"
"03/02/2023","4.621","4.621","4.621","4.621","0.96%"
"03/01/2023","4.577","4.577","4.577","4.577","2.33%"
"02/28/2023","4.473","4.473","4.473","4.473","1.18%"
"02/27/2023","4.421","4.421","4.421","4.421","-0.29%"
"02/24/2023","4.434","4.434","4.434","4.434","1.46%"
"02/23/2023","4.370","4.370","4.370","4.370","-2.04%"
"02/22/2023","4.461","4.461","4.461","4.461","-0.11%"
"02/21/2023","4.466","4.466","4.466","4.466","3.02%"
"02/20/2023","4.335","4.335","4.335","4.335","1.38%"
"02/18/2023","4.276","4.276","4.276","4.276","-0.49%"
"02/17/2023","4.297","4.297","4.297","4.297","-0.62%"
"02/16/2023","4.324","4.324","4.324","4.324","0.00%"
"02/15/2023","4.324","4.324","4.324","4.324","2.10%"
"02/14/2023","4.235","4.235","4.235","4.235","1.39%"
"02/13/2023","4.177","4.177","4.177","4.177","-0.75%"
"02/11/2023","4.208","4.208","4.208","4.208","-0.11%"
"02/10/2023","4.213","4.213","4.213","4.213","1.98%"
"02/09/2023","4.131","4.131","4.131","4.131","-2.43%"
"02/08/2023","4.234","4.234","4.234","4.234","0.47%"
"02/07/2023","4.214","4.214","4.214","4.214","1.47%"
"02/06/2023","4.153","4.153","4.153","4.153","3.62%"
"02/03/2023","4.008","4.008","4.008","4.008","3.11%"
"02/02/2023","3.887","3.887","3.887","3.887","-9.44%"
"02/01/2023","4.292","4.292","4.292","4.292","0.47%"
"01/31/2023","4.272","4.272","4.272","4.272","-1.07%"
"01/30/2023","4.318","4.318","4.318","4.318","2.18%"
"01/27/2023","4.226","4.226","4.226","4.226","1.34%"
"01/26/2023","4.170","4.170","4.170","4.170","2.03%"
"01/25/2023","4.087","4.087","4.087","4.087","4.37%"
"01/24/2023","3.916","3.916","3.916","3.916","-2.76%"
"01/23/2023","4.027","4.027","4.027","4.027","1.30%"
"01/22/2023","3.976","3.976","3.976","3.976","-0.16%"
"01/20/2023","3.982","3.982","3.982","3.982","5.90%"
"01/19/2023","3.760","3.760","3.760","3.760","0.11%"
"01/18/2023","3.756","3.756","3.756","3.756","-3.22%"
"01/17/2023","3.881","3.881","3.881","3.881","-3.24%"
"01/16/2023","4.011","4.011","4.011","4.011","0.33%"
"01/15/2023","3.998","3.998","3.998","3.998","-0.30%"
"01/13/2023","4.010","4.010","4.010","4.010","0.30%"
"01/12/2023","3.998","3.998","3.998","3.998","-1.14%"
"01/11/2023","4.044","4.044","4.044","4.044","-4.15%"
"01/10/2023","4.219","4.219","4.219","4.219","0.98%"
"01/09/2023","4.178","4.178","4.178","4.178","-1.02%"
"01/08/2023","4.221","4.220","4.221","4.220","-0.12%"
"01/06/2023","4.226","4.226","4.226","4.226","-2.69%"
"01/05/2023","4.343","4.343","4.343","4.343","1.97%"
"01/04/2023","4.259","4.259","4.259","4.259","-5.36%"
"01/03/2023","4.500","4.500","4.500","4.500","-1.21%"
"01/02/2023","4.555","4.555","4.555","4.555","-3.01%"
"01/01/2023","4.696","4.695","4.696","4.695","-0.16%"
"12/30/2022","4.704","4.704","4.704","4.704","3.82%"
"12/29/2022","4.531","4.531","4.531","4.531","-2.16%"
"12/28/2022","4.631","4.631","4.631","4.631","0.32%"
"12/27/2022","4.616","4.616","4.616","4.616","2.54%"
"12/26/2022","4.502","4.503","4.503","4.497","0.14%"
"12/23/2022","4.495","4.495","4.495","4.495","0.58%"
"12/22/2022","4.469","4.469","4.469","4.469","0.93%"
"12/21/2022","4.428","4.428","4.428","4.428","-1.09%"
"12/20/2022","4.477","4.477","4.477","4.477","2.35%"
"12/19/2022","4.374","4.374","4.374","4.374","2.11%"
"12/18/2022","4.284","4.284","4.284","4.284","0.08%"
"12/16/2022","4.280","4.280","4.280","4.280","3.03%"
"12/15/2022","4.154","4.154","4.154","4.154","7.67%"
"12/14/2022","3.858","3.858","3.858","3.858","1.61%"
"12/13/2022","3.797","3.797","3.797","3.797","-1.04%"
"12/12/2022","3.837","3.837","3.837","3.837","0.89%"
"12/11/2022","3.803","3.803","3.803","3.803","-0.42%"
"12/09/2022","3.819","3.819","3.819","3.819","3.41%"
"12/08/2022","3.693","3.693","3.693","3.693","2.41%"
"12/07/2022","3.606","3.606","3.606","3.606","-1.18%"
"12/06/2022","3.649","3.649","3.649","3.649","-2.80%"
"12/05/2022","3.754","3.754","3.754","3.754","0.04%"
"12/04/2022","3.753","3.752","3.753","3.752","0.00%"
"12/02/2022","3.752","3.752","3.752","3.752","1.21%"
"12/01/2022","3.707","3.707","3.707","3.707","-4.34%"
"11/30/2022","3.875","3.875","3.875","3.875","1.41%"
"11/29/2022","3.821","3.821","3.821","3.821","-2.40%"
"11/28/2022","3.915","3.915","3.915","3.915","1.85%"
"11/27/2022","3.844","3.843","3.844","3.843","-0.18%"
"11/25/2022","3.851","3.851","3.851","3.851","4.79%"
"11/24/2022","3.675","3.675","3.675","3.675","-3.24%"
"11/23/2022","3.798","3.798","3.798","3.798","-2.84%"
"11/22/2022","3.909","3.909","3.909","3.909","-0.46%"
"11/21/2022","3.927","3.927","3.927","3.927","1.03%"
"11/20/2022","3.887","3.887","3.887","3.887","-0.04%"
"11/19/2022","3.888","3.888","3.888","3.888","-0.06%"
"11/18/2022","3.891","3.891","3.891","3.891","-1.17%"
"11/17/2022","3.937","3.937","3.937","3.937","-0.10%"
"11/16/2022","3.941","3.941","3.941","3.941","-2.93%"
"11/15/2022","4.060","4.060","4.060","4.060","-2.64%"
"11/14/2022","4.170","4.170","4.170","4.170","-0.50%"
"11/13/2022","4.191","4.191","4.191","4.191","-0.17%"
"11/11/2022","4.198","4.198","4.198","4.198","4.77%"
"11/10/2022","4.007","4.007","4.007","4.007","-6.36%"
"11/09/2022","4.279","4.279","4.279","4.279","-2.37%"
"11/08/2022","4.383","4.383","4.383","4.383","-2.27%"
"11/07/2022","4.485","4.485","4.485","4.485","0.64%"
"11/06/2022","4.457","4.457","4.457","4.457","-0.28%"
"11/04/2022","4.469","4.469","4.469","4.469","1.11%"
"11/03/2022","4.420","4.420","4.420","4.420","3.08%"
"11/02/2022","4.288","4.288","4.288","4.288","0.35%"
"11/01/2022","4.273","4.273","4.273","4.273","-0.77%"
"10/31/2022","4.306","4.306","4.306","4.306","3.61%"
"10/30/2022","4.156","4.155","4.156","4.155","-0.12%"
"10/28/2022","4.161","4.161","4.161","4.161","4.23%"
"10/27/2022","3.992","3.992","3.992","3.992","-7.89%"
"10/26/2022","4.334","4.334","4.334","4.334","-0.87%"
"10/25/2022","4.372","4.372","4.372","4.372","-4.79%"
"10/24/2022","4.592","4.592","4.592","4.592","-5.73%"
"10/23/2022","4.871","4.761","4.871","4.761","2.25%"
"10/21/2022","4.764","4.764","4.764","4.764","0.55%"
"10/20/2022","4.738","4.738","4.738","4.738","-0.71%"
